PartcipantID:1
RandID:1
InitialTimeStamp:22-08-50-217
block;trial;citynumber(100=Reset);Out(0)/In(1)/Reset(2)/Other;time
1;1;2;1;3.611221
1;1;1;1;5.019508
1;1;7;1;5.800179
1;2;1;1;2.902374
1;2;4;1;5.651672
1;2;2;1;6.230156
1;3;3;1;1.233727
1;3;9;1;3.082458
1;3;2;1;3.970474
1;4;3;1;1.504776
1;4;9;1;5.282837
1;4;7;1;5.983711
1;5;3;1;1.215202
1;5;7;1;3.43531
1;5;6;1;4.291664
1;6;6;1;1.028824
1;6;9;1;1.98494
1;6;5;1;2.857811
1;7;5;1;0.9267197
1;7;7;1;2.839615
1;7;3;1;3.59449
1;8;2;1;1.04467
1;8;3;1;2.497238
1;8;5;1;3.420235
2;1;6;1;1.595848
2;1;3;1;2.621422
2;1;7;1;3.219536
2;2;5;1;1.335243
2;2;4;1;5.093063
2;2;6;1;6.441978
2;2;8;6;7.343735
2;2;6;0;9.56501
2;2;8;9;10.09612
2;2;6;1;11.4819
2;3;8;1;1.470695
2;3;1;1;5.149971
2;3;4;1;5.833366
2;4;4;1;1.573814
2;4;1;1;3.550667
2;4;2;1;4.455505
2;5;3;1;1.097366
2;5;8;1;2.362846
2;5;7;1;3.23381
2;6;5;4;4.224243
2;6;6;1;5.299484
2;6;9;1;7.89843
2;6;7;1;8.701012
2;7;3;1;1.760193
2;7;9;1;3.076706
2;7;7;1;3.759804
