PartcipantID:1
RandID:1
InitialTimeStamp:09-58-41-732
block;trial;eventType;elapsedTime
1;0;InterProblemRest;0.078
1;1;Trial;0.161
1;1;ParticipantSkip;30.151
1;1;ParticipantAnswer;30.154
1;1;InterTrialRest;30.216
1;2;Trial;30.38
1;2;ParticipantSkip;30.942
1;2;ParticipantAnswer;30.943
1;2;InterTrialRest;31.006
1;3;Trial;31.162
1;3;ParticipantSkip;31.585
1;3;ParticipantAnswer;31.587
1;3;InterTrialRest;31.649
1;4;Trial;31.804
1;4;ParticipantSkip;32.077
1;4;ParticipantAnswer;32.079
1;4;InterTrialRest;32.152
1;5;Trial;32.312
1;5;ParticipantSkip;32.333
1;5;ParticipantAnswer;32.334
1;5;InterTrialRest;32.398
1;6;Trial;32.556
1;6;ParticipantSkip;32.571
1;6;ParticipantAnswer;32.572
1;6;InterTrialRest;32.635
1;7;Trial;32.795
1;7;ParticipantSkip;32.809
1;7;ParticipantAnswer;32.811
1;7;InterTrialRest;32.873
1;8;Trial;33.029
1;8;ParticipantSkip;33.044
1;8;ParticipantAnswer;33.045
1;8;InterTrialRest;33.107
2;0;InterBlockRest;33.246
2;1;Trial;34.039
2;1;ParticipantSkip;34.138
2;1;ParticipantAnswer;34.14
2;1;InterTrialRest;34.211
2;2;Trial;34.371
2;2;ParticipantSkip;34.623
2;2;ParticipantAnswer;34.626
2;2;InterTrialRest;34.698
2;3;Trial;34.86
2;3;ParticipantSkip;34.876
2;3;ParticipantAnswer;34.877
2;3;InterTrialRest;34.95
2;4;Trial;35.109
2;4;ParticipantSkip;35.124
2;4;ParticipantAnswer;35.125
2;4;InterTrialRest;35.187
2;5;Trial;35.347
2;5;ParticipantSkip;35.362
2;5;ParticipantAnswer;35.363
2;5;InterTrialRest;35.425
2;6;Trial;35.584
2;6;ParticipantSkip;35.6
2;6;ParticipantAnswer;35.601
2;6;InterTrialRest;35.673
2;7;Trial;35.829
2;7;ParticipantSkip;35.844
2;7;ParticipantAnswer;35.845
2;7;InterTrialRest;35.909
2;8;Trial;36.07
2;8;ParticipantSkip;36.112
2;8;ParticipantAnswer;36.113
2;8;InterTrialRest;36.177
2;8;InterProblemRest;36.317
2;8;InterProblemRest;36.377
2;8;InterProblemRest;36.434
2;8;InterProblemRest;36.498
2;8;InterProblemRest;36.555
2;8;InterProblemRest;36.616
2;8;InterProblemRest;36.678
2;8;InterProblemRest;36.736
2;8;InterProblemRest;36.788
2;8;InterProblemRest;36.84
2;8;InterProblemRest;36.891
2;8;InterProblemRest;36.942
2;8;InterProblemRest;36.994
2;8;InterProblemRest;37.047
2;8;InterProblemRest;37.097
2;8;InterProblemRest;37.151
2;8;InterProblemRest;37.204
2;8;InterProblemRest;37.255
2;8;InterProblemRest;37.307
2;8;InterProblemRest;37.359
2;8;InterProblemRest;37.409
2;8;InterProblemRest;37.46
2;8;InterProblemRest;37.523
2;8;InterProblemRest;37.575
2;8;InterProblemRest;37.626
2;8;InterProblemRest;37.677
2;8;InterProblemRest;37.729
2;8;InterProblemRest;37.783
2;8;InterProblemRest;37.836
2;8;InterProblemRest;37.889
2;8;InterProblemRest;37.942
2;8;InterProblemRest;37.994
2;8;InterProblemRest;38.046
2;8;InterProblemRest;38.099
2;8;InterProblemRest;38.153
2;8;InterProblemRest;38.205
2;8;InterProblemRest;38.256
2;8;InterProblemRest;38.309
2;8;InterProblemRest;38.364
2;8;InterProblemRest;38.419
2;8;InterProblemRest;38.472
2;8;InterProblemRest;38.528
